,X.ZTIME,LON,LAT,WSR_ID,CELL_ID,RANGE,AZIMUTH,SEVPROB,PROB,MAXSIZE
4326850,2.01506202355e+13,-77.34903,38.92652,KPBZ,C3,164,125,-999,-999,-999.0
4326979,2.01506202356e+13,-77.38461,39.06539,KDCA,D7,27,313,0,100,0.5
4326981,2.01506202356e+13,-76.962,39.07592,KDCA,C7,19,0,30,50,1.0
4327030,2.01506202357e+13,-77.39219,39.33136,KDIX,M2,143,256,-999,-999,-999.0
4327035,2.01506202357e+13,-76.91316,39.05131,KDIX,N3,128,246,-999,-999,-999.0
4327037,2.01506202357e+13,-77.38763,39.06404,KDIX,X4,148,250,-999,-999,-999.0
4327073,2.01506202357e+13,-77.36962,39.32607,KDOX,B1,95,289,0,80,0.5
4327075,2.01506202357e+13,-77.37951,39.07644,KDOX,N8,92,280,0,90,0.5
4327076,2.01506202357e+13,-77.29358,38.91255,KDOX,H9,87,274,10,100,0.5
4327078,2.01506202357e+13,-76.90009,39.07957,KDOX,J3,70,283,30,90,0.75
4327159,2.01506202358e+13,-77.37618,39.32626,KCCX,N9,100,163,0,20,0.5
4327252,2.01506202358e+13,-77.33117,39.06413,KLWX,N6,9,54,0,70,0.5
4327254,2.01506202358e+13,-77.39269,39.35254,KLWX,Q4,23,11,0,80,0.5
4327257,2.01506202358e+13,-76.90536,39.08754,KLWX,U8,28,76,0,90,0.75
4327261,2.01506202358e+13,-77.33635,38.93881,KBGM,M1,205,198,-999,-999,-999.0
4327322,2.01506202359e+13,-77.29692,38.9169,KRAX,O1,203,16,-999,-999,-999.0
4327363,2.01506202359e+13,-77.33014,38.91899,KFCX,S9,180,50,-999,-999,-999.0
4327467,2.01506210001e+13,-77.3953,39.13151,KAKQ,V1,130,352,-999,-999,-999.0
4327468,2.01506210001e+13,-77.32664,39.34016,KAKQ,D1,142,354,-999,-999,-999.0
4327484,2.01506210001e+13,-77.31771,38.95445,KAKQ,H3,119,353,0,90,0.5
4327525,2.01506210001e+13,-77.35286,39.10003,KDOX,N8,91,281,0,90,0.5
4327543,2.01506210001e+13,-77.29547,38.9552,KPBZ,C3,165,124,-999,-999,-999.0
4327547,2.01506210001e+13,-77.36708,39.10843,KPBZ,O3,157,122,-999,-999,-999.0
4327680,2.01506210002e+13,-77.37153,39.33593,KDIX,M2,142,256,-999,-999,-999.0
